idLocalidad,nombreLocalidad,latitudLocalidad,longitudLocalidad,idDepartamento,GeomLocalidad,GeomTLocalidad,geometry
1841,PUERTO PINARES,"-26,44928333","-54,68283028",70,0x00000000010C362F77FB66574BC0ECFC783B04733AC0,POINT (-54.68283027 -26.44928333),POINT (-54.68283027 -26.44928333)
1842,VILLA ROULET,"-26,45373556","-54,64504722",70,0x00000000010C4B2345E890524BC05748540328743AC0,POINT (-54.64504722 -26.45373555),POINT (-54.64504722 -26.45373555)
1843,MONTECARLO,"-26,565975","-54,78282944",88,0x00000000010CB0924DC133644BC0865AD3BCE3903AC0,POINT (-54.78282944 -26.565975),POINT (-54.78282944 -26.565975)
1844,CARAGUATAY,"-26,64707472","-54,72087556",88,0x00000000010C36DE67A6455C4BC0E67758B0A6A53AC0,POINT (-54.72087555 -26.64707472),POINT (-54.72087555 -26.64707472)
1845,SAN PEDRO,"-26,64931528","-54,1328",82,0x00000000010C54742497FF104BC08371898639A63AC0,POINT (-54.1328 -26.64931527),POINT (-54.1328 -26.64931527)
1846,EL ALCAZAR,"-26,71597972","-54,79950028",96,0x00000000010C87655C0656664BC0CEFF69724AB73AC0,POINT (-54.79950027 -26.71597972),POINT (-54.79950027 -26.71597972)
1847,TARUMA,"-26,73264028","-54,716155",88,0x00000000010CF6EE8FF7AA5B4BC0F3610F508EBB3AC0,POINT (-54.716155 -26.73264027),POINT (-54.716155 -26.73264027)
1848,PUERTO RICO,"-26,79930917","-55,01619139",96,0x00000000010CDFC9238F12824BC0DE976D869FCC3AC0,POINT (-55.01619138 -26.79930916),POINT (-55.01619138 -26.79930916)
1849,GARUHAPE,"-26,81737611","-54,96145528",96,0x00000000010CC29B5EF7107B4BC051FB8C8F3FD13AC0,POINT (-54.96145527 -26.81737611),POINT (-54.96145527 -26.81737611)
1850,SAN MIGUEL,"-26,85514833","-54,88838944",96,0x00000000010CB474C3BEB6714BC03A943E00EBDA3AC0,POINT (-54.88838944 -26.85514833),POINT (-54.88838944 -26.85514833)
1851,SAN GOTARDO,"-26,90849583","-55,08812111",96,0x00000000010CC4C4728D478B4BC00267C62E93E83AC0,POINT (-55.08812111 -26.90849583),POINT (-55.08812111 -26.90849583)
1852,CAPIOVI,"-26,93267139","-55,06618917",96,0x00000000010C5DC6EAE278884BC0E303338DC3EE3AC0,POINT (-55.06618916 -26.93267138),POINT (-55.06618916 -26.93267138)
1853,RUIZ DE MONTOYA,"-26,96599917","-55,06616333",96,0x00000000010CB1453D0A78884BC0D92990B84BF73AC0,POINT (-55.06616333 -26.96599916),POINT (-55.06616333 -26.96599916)
1854,PUERTO LEONI,"-26,98266722","-55,16618194",96,0x00000000010C30BE267345954BC051C0341490FB3AC0,POINT (-55.16618194 -26.98266722),POINT (-55.16618194 -26.98266722)
1855,SAN VICENTE,"-26,99933083","-54,46614111",98,0x00000000010CB5620B83AA3B4BC00BBC3025D4FF3AC0,POINT (-54.46614111 -26.99933083),POINT (-54.46614111 -26.99933083)
1856,JARDIN AMERICA,"-27,04933722","-55,21619139",104,0x00000000010C7863BD28AC9B4BC02560325DA10C3BC0,POINT (-55.21619138 -27.04933722),POINT (-55.21619138 -27.04933722)
1857,CORPUS,"-27,11296333","-55,5059425",104,0x00000000010C08944DB9C2C04BC04CFF2F2AEB1C3BC0,POINT (-55.5059425 -27.11296333),POINT (-55.5059425 -27.11296333)
1858,SANTO PIPO,"-27,13267639","-55,39953722",104,0x00000000010CA6B71E0924B34BC03A0D4914F7213BC0,POINT (-55.39953722 -27.13267638),POINT (-55.39953722 -27.13267638)
1859,GOBERNADOR ROCA,"-27,18268194","-55,44953361",104,0x00000000010C90B33C518AB94BC0ADDE5D3EC42E3BC0,POINT (-55.44953361 -27.18268194),POINT (-55.44953361 -27.18268194)
1860,SAN IGNACIO,"-27,266015","-55,53287778",104,0x00000000010C2C75B95635C44BC0D53E1D8F19443BC0,POINT (-55.53287777 -27.266015),POINT (-55.53287777 -27.266015)
1861,EL SOBERBIO,"-27,31602083","-54,21612528",98,0x00000000010C9D3E2BFEA91B4BC06CB4B9BDE6503BC0,POINT (-54.21612527 -27.31602083),POINT (-54.21612527 -27.31602083)
1862,CAMPO VIERA,"-27,33270222","-55,049525",117,0x00000000010CCEAACFD556864BC0E43402F92B553BC0,POINT (-55.049525 -27.33270222),POINT (-55.049525 -27.33270222)
1863,GRAN POSADAS,"-27,38269778","-55,89956833",125,0x00000000010C05EF160E25F34BC0F266267BF8613BC0,POINT (-55.89956833 -27.38269777),POINT (-55.89956833 -27.38269777)
1864,POSADAS,"-27,38269778","-55,89956833",125,0x00000000010C05EF160E25F34BC0F266267BF8613BC0,POINT (-55.89956833 -27.38269777),POINT (-55.89956833 -27.38269777)
1865,SANTA ANA,"-27,38269861","-55,58286889",123,0x00000000010C63BA8C729BCA4BC0B62C3E89F8613BC0,POINT (-55.58286888 -27.38269861),POINT (-55.58286888 -27.38269861)
1866,25 DE MAYO,"-27,38270444","-54,7494925",119,0x00000000010C740CC85EEF5F4BC081D50DEBF8613BC0,POINT (-54.7494925 -27.38270444),POINT (-54.7494925 -27.38270444)
1867,SAN MARTIN,"-27,45437194","-55,33286639",117,0x00000000010CDA04945D9BAA4BC024852EB851743BC0,POINT (-55.33286638 -27.45437194),POINT (-55.33286638 -27.45437194)
1868,CANDELARIA,"-27,46603806","-55,74956278",123,0x00000000010C7EB93FACF1DF4BC00E7107454E773BC0,POINT (-55.74956277 -27.46603805),POINT (-55.74956277 -27.46603805)
1869,CAMPO RAMON,"-27,46604222","-55,03283389",117,0x00000000010C80668CE633844BC08A74FD8A4E773BC0,POINT (-55.03283388 -27.46604222),POINT (-55.03283388 -27.46604222)
1870,VILLA BONITA,"-27,48132583","-54,94839694",117,0x00000000010C9776281265794BC0EF916A2B387B3BC0,POINT (-54.94839694 -27.48132583),POINT (-54.94839694 -27.48132583)
1871,GARUPA,"-27,48270944","-55,83289333",125,0x00000000010C09B4A63F9CEA4BC03E458AD8927B3BC0,POINT (-55.83289333 -27.48270944),POINT (-55.83289333 -27.48270944)
1872,BONPLAND,"-27,48270222","-55,48287278",123,0x00000000010CB4A361C6CEBD4BC04A9B685F927B3BC0,POINT (-55.48287277 -27.48270222),POINT (-55.48287277 -27.48270222)
1873,OBERA,"-27,4826975","-55,1328525",117,0x00000000010C8E588B4F01914BC0685C3810927B3BC0,POINT (-55.1328525 -27.4826975),POINT (-55.1328525 -27.4826975)
1874,GUARANI,"-27,51604972","-55,16618361",117,0x00000000010C650A298145954BC08D829ED51B843BC0,POINT (-55.16618361 -27.51604972),POINT (-55.16618361 -27.51604972)
1875,SANTA RITA,"-27,51604167","-54,732835",119,0x00000000010C9D2E8B89CD5D4BC0D412654E1B843BC0,POINT (-54.732835 -27.51604166),POINT (-54.732835 -27.51604166)
1876,ALBA POSSE,"-27,54938333","-54,69948583",119,0x00000000010CC6EE6DC088594BC04D51CB62A48C3BC0,POINT (-54.69948583 -27.54938333),POINT (-54.69948583 -27.54938333)
1877,VILLA LIBERTAD,"-27,58272528","-55,28285833",136,0x00000000010C2760A6B334A44BC0E933B97B2D953BC0,POINT (-55.28285833 -27.58272527),POINT (-55.28285833 -27.58272527)
1878,LEANDRO N. ALEM,"-27,61605194","-55,3161875",136,0x00000000010CB6F3FDD478A84BC0F6EF7694B59D3BC0,POINT (-55.3161875 -27.61605194),POINT (-55.3161875 -27.61605194)
1879,CERRO AZUL,"-27,63271778","-55,49953",136,0x00000000010C79AF5A99F0BF4BC080BFB1CAF9A13BC0,POINT (-55.49953 -27.63271777),POINT (-55.49953 -27.63271777)
1880,PINDAPOY,"-27,74940556","-55,79956528",142,0x00000000010C6ED59E2758E64BC0DEB0C80AD9BF3BC0,POINT (-55.79956527 -27.74940555),POINT (-55.79956527 -27.74940555)
